company_name,title,top_skills
Capital One,"Lead Software Engineer, Android","agile, kotlin, leadership"
Capital One,"Lead Software Engineer, Back End","programming, nosql, docker, nodejs, agile"
Capital One,"Lead Software Engineer, Backend (Java, Go)","programming, nosql, docker, nodejs, agile"
Capital One,"Lead Software Engineer, Front End","typescript, microservices, programming, javascript, agile"
Capital One,"Lead Software Engineer, Full Stack","programming, nosql, docker, go, agile"
Capital One,"Lead Software Engineer, Full Stack (Java, Go)","programming, nosql, docker, go, agile"
Capital One,"Lead, Software Engineer, Full Stack","programming, nosql, docker, spark, go, agile"
Capital One,"Manager, Software Engineer","programming, nosql, docker, go, agile"
Capital One,Senior Lead Software Engineer - Full Stack,"programming, nosql, docker, go, agile"
Capital One,"Senior Lead Software Engineer, Front End","microservices, programming, javascript, typescript, java, agile"
Capital One,"Senior Lead Software Engineer, Full Stack","agile, programming, nosql, docker, go, microservices"
Capital One,"Senior Lead Software Engineer, Full Stack (Remote -Eligible)","leadership, programming, nosql, docker, sql, python, agile, communication"
Capital One,Senior Software Engineer,"agile, programming, docker, nosql, go, kafka"
Capital One,Senior Software Engineer (Backend),"agile, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer (Python, AWS)","agile, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer Back End (Java, Python, Spring Boot, AWS)","agile, spring, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer, Back End","agile, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer, Back End (GoLang)","agile, kafka, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer, Back End (Python)","automation, testing, agile, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer, Back End (Python, Kubernetes, AWS)","agile, docker, programming, nosql, nodejs, kubernetes"
Capital One,"Senior Software Engineer, BackEnd","agile, programming, nosql, docker, nodejs"
Capital One,"Senior Software Engineer, Front End","microservices, programming, javascript, typescript, java, agile"
Capital One,"Senior Software Engineer, Full Stack (Java)","agile, programming, nosql, docker, go"
Capital One,"Senior Software Engineer, Full Stack (Java, AWS)","agile, collaboration, microservices, java, programming, nosql, docker, go"
Capital One,"Senior Software Engineer, Full Stack (Java, React, AWS)","agile, programming, nosql, docker, sql"
Capital One,"Senior Software Engineer, Full Stack (Node)","agile, programming, nosql, docker, go"
Capital One,"Senior Software Engineer, Full Stack (Spring Boot, JavaScript, AWS)","agile, programming, nosql, docker, java, javascript"
Capital One,"Senior Software Engineer, Full Stack (TypeScript, Node, React, AWS)","agile, programming, nosql, docker, typescript, cybersecurity, testing"
Capital One,"Senior Software Engineer, iOS","agile, swift, leadership"
Capital One,Senior Software Engineer- Backend,"programming, spark, nosql, docker, nodejs, agile"
Capital One,"Senior, Software Engineer, Full Stack","agile, programming, nosql, docker, spring"
Capital One,"Software Engineer, Full Stack","agile, programming, nosql, docker, go, cybersecurity, testing"
Capital One,"Software Engineer, Full Stack (Python, NodeJS, React)","agile, nosql, docker, python"
"Capital Staffing Solutions, Inc.",Mobile Software Engineer,"collaboration, javascript, react, communication, problemsolving, typescript"
CarMax,Senior Software Engineer,"innovation, agile, communication, devops, teamwork, sql, nosql, programming, html, css"
"CareMetx, LLC",Senior Software Engineer (.net),"communication, agile, decisionmaking, creativity, innovation, leadership, kafka, programming, sql, containerization"
Cash App,"Principal Software Engineer, Cash Commerce","collaboration, initiative, communication, blockchain, go"
Cash App,"Senior Software Engineer, Cash Commerce","initiative, collaboration, problemsolving, communication, blockchain, go"
Caterpillar Inc.,Senior Software Engineer,"testing, innovation, planning, java, programming, spark, algorithms, nosql, agile"
Caterpillar Inc.,Software Engineer,"automation, devops, communication, innovation, organization, writing, testing, programming, agile, decisionmaking"
Cerebra Consulting Inc,Java Software Engineer,"java, spring, flexibility, microservices, problemsolving, agile, communication, teamwork"
Cerebra Consulting Inc,Software Engineer with Provenir or PowerCurve Experience,"initiative, agile, organization, decisionmaking, programming, python, devops"
Certara,SFT - Software Engineer I,"agile, collaboration, leadership, hardware"
Chewy,Software Engineer I,"innovation, writing, debugging, agile, communication, terraform"
Chewy,Software Engineer III,"testing, leadership, planning, communication, collaboration, programming"
Chick-fil-A Corporate Support Center,"Lead Software Engineer, Backend, International Solutions","collaboration, devops, programming, agile, interpersonal"
"Cintal, Inc.",Embedded Software Engineer,"testing, hardware, communication, interpersonal"
Cisco,Interactive NLP Software Engineer,"programming, networking, problemsolving, javascript"
Cisco,"Lead Software Engineer I(Frontend), CEA - Application Monitoring ThousandEyes","typescript, vue, go, presentation, initiative, javascript, react, java, spring, planning"
Cisco,"Senior Software Engineer, Data Engineering - ThousandEyes","networking, python, automation, interpersonal"
Cisco,Software Engineer – UCS,"debugging, automation, python, planning, communication, programming"
Citi,Digital Software Engineer Senior Analyst,"writing, agile, microservices, spring, presentation, testing"
City Storage Systems,"Infrastructure - Software Engineer, CSS - Seattle","css, microservices, kubernetes, agile"
Clarivate,Lead Software Engineer (.NET),"testing, sql"
ClearanceJobs,DevOps Software Engineer with Security Clearance,"python, javascript, devops, debugging"
ClearanceJobs,Lead Software Engineer with Security Clearance,"automation, agile, devops, innovation, creativity"
ClearanceJobs,Software Engineer (ICAM) with Security Clearance,"programming, testing, java, scripting, ruby, presentation"
ClearanceJobs,Software Engineer Level 4 with Security Clearance,"decisionmaking, hadoop"
ClearanceJobs,"Software Engineer Stf / Embedded / C++ / Orlando, FL with Security Clearance","c, algorithms, hardware, flexibility, resilience, innovation"
Cloudflare,"Principal Software Engineer, R2 Storage","programming, rust, writing, javascript"
Cloudflare,"Software Engineer (Security Platform, Internal PKI)","automation, go, rust"
Cloudflare,Software Engineer - DEX,"go, typescript, react, debugging, programming, interpersonal, communication, empathy"
Cloudflare,Software Engineer - Infrastructure Platforms,"automation, rust, organization, programming, debugging, writing, sql"
Cloudflare,"Software Engineer - Zero Trust Client (low-level OS, VPN, networking)","writing, networking, programming, rust, debugging, communication"
CodeMonk,Senior Software Engineer,"agile, problemsolving, programming, javascript, testing, react, algorithms, python, typescript, java"
Codeliq,Senior Software Engineer,"java, spring, sql, problemsolving"
Cohesity,Senior Software Engineer,"cybersecurity, agile, debugging, testing"
Coinbase,"Senior Software Engineer, Workday","testing, presentation"
Collabera,Java Software Engineer,java
Collins Aerospace,Principal Software Engineer - ACTT Datalinks (Onsite),"networking, agile, communication, c, debugging"
Collins Aerospace,Senior Software Engineer - ACTT Datalinks (Onsite),"agile, networking, c, communication"
Comcast,"Software Engineer(Python, Apache Spark) Software Dev & Engineering","organization, python, spark, java, programming"
Comcentia,Software Engineer,"testing, communication, devops, writing, interpersonal, hardware"
Complete Staffing Solutions,Senior Software Engineer,"cybersecurity, python"
Compunnel Inc.,Senior Full-Stack Software Engineer,"javascript, microservices, writing, sql, problemsolving, communication, agile"
Compunnel Inc.,Senior Software Engineer,"spring, docker, leadership, organization, kubernetes, agile, kafka, terraform"
Compunnel Inc.,Software Engineer in Test (Cypress),"automation, javascript, agile, python, testing, java, jenkins"
Compunnel Inc.,Sr Software Engineer,"angular, automation, c, python, sql, networking, devops, docker"
"Comscore, Inc.",Software Engineer,communication
Confidential,Principal Software Engineer,"writing, agile"
Confidential,Senior C++ Software Engineer (Medical Devices) - No Visa - Onsite,"c, interpersonal, agile, debugging, hardware, scripting, communication"
Confidential,Senior Software Engineer,
Connect-IT ,Senior Software Engineer,"python, programming"
Constellation,Software Engineer (Remote),"testing, sql, programming, agile, debugging, problemsolving, teamwork, nosql, initiative, negotiation"
Conveyor,"Junior Software Engineer, AI","algorithms, programming, problemsolving, innovation"
Cookonnect,Senior Software Engineer,"ruby, testing, programming, planning, collaboration, agile, communication, writing, flexibility, leadership"
"Core Techs, Inc",Senior Software Engineer,"react, writing, communication, programming, devops, sql, automation"
Cornelis Networks,"Sr. Software Engineer, OPX (Libfabric Provider)","hardware, writing, express, communication, programming, agile"
CornerUp,Senior Backend Software Engineer,"leadership, microservices, react, devops, problemsolving"
Corps Team,Software Engineer (.NET/C#),"problemsolving, communication, agile, sql, devops"
Costco Wholesale,Software Engineer - Booking - Costco Travel,"sql, java, testing, automation, communication, planning, react, problemsolving, javascript"
Cotiviti,Associate Software Engineer,communication
Cotiviti,Software Engineer,"sql, aspnet, programming, java, testing, javascript, microservices, scripting, python, interpersonal"
Covetrus,Software Engineer,"javascript, react, programming, java, spring, nodejs, sql, agile"
Cox Automotive Inc.,Software Engineer I,"agile, organization, ruby, typescript, ansible, creativity, flexibility, innovation, planning"
Crestron Electronics,"Software Engineer, Intelligent Video","algorithms, planning, programming, c, java, networking, scripting, communication, agile"
Crew Capital,Senior Software Engineer,"typescript, nodejs, empathy, planning, organization, leadership"
CrowdStrike,Software Engineer – Streaming Search (Remote),"c, python, writing, scripting, automation, ruby, go, java, kafka, cybersecurity"
CrowdStrike,Sr. Software Engineer - Android (Remote),"innovation, collaboration, cybersecurity, flexibility, testing, java, react"
CrowdStrike,Sr. Software Engineer - Cloud (Remote),"innovation, communication, cybersecurity, flexibility, kubernetes, algorithms, programming, go, nodejs, testing"
CrowdStrike,Sr. Software Engineer - macOS Sensor (Remote),"innovation, cybersecurity, flexibility, python, collaboration"
Crunchyroll,"Staff Software Engineer, Partner Engineering","collaboration, testing, html, react"
Crypto Recruiters,Senior Software Engineer / Python / DeFi,"python, communication, problemsolving"
Curinos,Senior Software Engineer - Data Platforms,"writing, agile, sql, communication, networking, go"
Curinos,Senior Software Engineer - Data Platforms (US),"writing, agile, sql, communication, networking, go"
"Curtis Instruments, A Kohler Co.",Embedded Software Engineer,"communication, flexibility, testing, debugging, interpersonal"
Cypress HCM,"Senior Software Engineer, 32707699","scripting, communication"
D. E. Shaw Research,"Software Engineer, Data Infrastructure at D. E. Shaw Research","python, programming, writing"
DAT Freight & Analytics,Staff Software Engineer,"kafka, innovation, microservices, sql, nosql, leadership, communication, javascript, docker, react"
DICE (EA Digital Illusions CE AB),Software Engineer,"scripting, debugging, express, react, collaboration, programming, writing, communication, creativity"
Daikin Comfort,Embedded Software Engineer,"communication, testing, algorithms, programming, networking"
Daikin Comfort,Test Controls Software Engineer,"testing, scripting, debugging, automation, programming"
DataAnnotation,Software Engineer,"programming, c, flexibility, writing"
Dataminr,"Principal Software Engineer, Knowledge and AI","programming, leadership"
Dataquad Inc.,Senior Java Software Engineer,"java, go, angular, leadership"
DeepScribe,Lead Software Engineer - ML Infrastructure,
Delta Infotek,Senior Software Engineer,"scripting, communication, leadership, c, automation, agile"
"Denken Solutions, Inc.",Senior Java Software Engineer - W2 Position (Global Banking),"agile, nosql, programming"
Design Pickle,Senior Software Engineer (Front End),"communication, collaboration, ruby, programming, javascript, react, agile, leadership, spark"
Destiny (D/XYZ),Senior Software Engineer,"writing, programming, problemsolving, communication"
Dexian,Sr. Software Engineer/API Developer,"agile, testing"
Dexian India,Senior Java Software Engineer,"kafka, spring"
Dice,"Android Software Engineer, Core and Monetization","testing, kotlin, writing, collaboration, communication"
Dice,Backend Java Senior Software Engineer Developer,"problemsolving, java, spring, python, typescript, innovation, testing"
Dice,Cloud Software Engineer,"programming, agile, sql, nosql, java, spring, writing, testing, communication, teamwork"
Dice,IBM Tivoli Software Engineer,"automation, programming, problemsolving, interpersonal, containerization, virtualization"
Dice,Northrop Grumman (DoD SkillBridge) - Cyber Software Engineer - Cincinnati OH,"programming, networking, organization, leadership, collaboration, communication, scripting, debugging, agile"
Dice,Principal Software Engineer (Springboot / Fintech),"java, spring, problemsolving, communication"
Dice,Principal Software Engineer - Front End Developer,"testing, innovation, angular, organization"
Dice,"Principal Software Engineer, Software Hardware Controls","hardware, c"
Dice,"SRE / Software Engineer (Kubernetes, AWS)","spark, kubernetes, networking, programming, automation, scripting, python"
Dice,Senior Software Engineer,"testing, communication, innovation, writing, programming, microservices, automation, sql, spring, rust"
Dice,Software Engineer,"programming, sql, spring, problemsolving, communication, interpersonal, innovation"
Dice,Software Engineer (Full Stack),"spring, java, microservices, agile, problemsolving, nodejs, docker, kubernetes, containerization"
Dice,Software Engineer .NET (Banking),"sql, c, devops, problemsolving, communication, leadership, collaboration, creativity, python, r"
Dice,Sr Principal Cyber Software Engineer (EC),"algorithms, hardware, agile"
Digital Prospectors,Senior Software Engineer,"agile, c, programming, debugging, hardware, scripting"
Digital.ai,Software Engineer,"testing, agile, c, communication"
Diverse Lynx,Senior Java Software Engineer (10+ years) (Fulltime),"writing, java, spring, angular, agile, microservices, communication"
Divorce.com,Software Engineer (Backend),"python, ruby, innovation"
Docusign,Software Engineer,"c, testing, nosql, writing, communication, programming, spark, sql"
Docusign,"Software Engineer, CLM Platform","agile, c, programming, html, problemsolving"
DoorDash,"Software Engineer II, iOS","empathy, go, innovation, initiative"
Drake Software,Principal Software Engineer,aspnet
Draper,Embedded Software Engineer,"innovation, communication"
Dropbox,Infrastructure Software Engineer,"debugging, python"
Dropbox,"Principal Software Engineer, Product Platform",
Duetto,Senior/Lead Software Engineer,"java, javascript, sql, nosql, spring"
"Dynalab, Inc.",Senior Software Engineer,"flexibility, c, hardware"
E-Solutions,Embedded Software Engineer,"c, programming"
ECS,Junior AI/ML Software Engineer,"agile, writing, automation, devops, collaboration, interpersonal"
ENGIE Impact,Software Engineer,"react, communication, agile, testing, typescript"
EPITEC,Software Engineer,"python, agile, docker, communication, listening, programming, react, devops, presentation, java"
EVONA,Embedded Software Engineer,"hardware, c"
EVONA,Flight Software Engineer,"hardware, c"
EVONA,"Mission Operations, Software Engineer",c
