industry_name,skills,unique_skills,top_10_skills
Defense and Space Manufacturing,"['decision-making', 'hadoop'] ['algorithms', 'c++', 'c++', 'hardware', 'flexibility', 'resilience', 'innovation'] ['agile', 'automation', 'automation', 'devops', 'innovation', 'creativity'] ['programming', 'java', 'scripting', 'programming', 'ruby', 'testing', 'presentation', 'testing'] ['organization', 'planning', 'hardware', 'leadership', 'agile', 'hardware', 'hardware'] [] ['java', 'testing', 'spring'] ['java'] ['networking', 'debugging', 'programming', 'planning', 'testing', 'communication', 'planning', 'planning', 'planning', 'planning', 'initiative'] ['devops', 'devops', 'programming', 'bash', 'collaboration', 'cybersecurity'] ['hardware', 'programming', 'organization'] ['innovation', 'communication'] [] ['hardware', 'programming', 'networking', 'communication', 'planning', 'organization'] ['networking', 'debugging', 'programming', 'planning', 'testing', 'communication', 'planning', 'planning', 'planning', 'planning', 'initiative'] ['collaboration'] ['networking', 'debugging', 'programming', 'planning', 'testing', 'communication', 'planning', 'planning', 'planning', 'planning', 'initiative'] ['networking', 'debugging', 'programming', 'planning', 'testing', 'communication', 'planning', 'planning', 'planning', 'planning', 'initiative'] ['networking', 'debugging', 'c++', 'rust', 'planning', 'testing', 'communication', 'planning', 'planning', 'initiative'] ['agile', 'multitasking', 'hardware', 'communication', 'express', 'writing', 'agile', 'communication', 'javascript', 'organization'] ['devops', 'debugging', 'python', 'python', 'python', 'javascript', 'python', 'python', 'javascript'] ['devops', 'devops', 'devops', 'devops', 'devops', 'devops', 'swift', 'devops', 'leadership', 'flexibility', 'communication', 'collaboration', 'devops', 'devops', 'scripting', 'automation', 'automation', 'networking', 'kubernetes', 'containerization', 'communication', 'interpersonal', 'problem-solving', 'initiative', 'collaboration', 'organization', 'kubernetes', 'devops'] ['virtualization', 'communication'] ['c++', 'c++', 'programming', 'testing', 'hardware', 'hardware', 'hardware'] ['hardware', 'testing', 'testing', 'c++', 'scripting', 'python', 'communication', 'interpersonal', 'problem-solving', 'agile', 'leadership'] ['flexibility'] ['devops', 'leadership', 'testing', 'automation', 'interpersonal', 'python', 'scripting', 'testing', 'automation', 'scripting', 'automation', 'python', 'scripting', 'automation', 'automation', 'leadership', 'python', 'bash', 'agile', 'automation', 'testing', 'containerization', 'containerization'] ['organization', 'agile', 'agile', 'communication', 'interpersonal', 'problem-solving', 'teamwork'] ['agile', 'c++', 'cybersecurity', 'cybersecurity', 'python', 'docker', 'testing', 'java', 'containerization', 'cybersecurity', 'problem-solving', 'cybersecurity', 'networking', 'innovation'] ['agile', 'c++', 'cybersecurity', 'cybersecurity', 'python', 'docker', 'testing', 'java', 'containerization', 'cybersecurity', 'problem-solving', 'cybersecurity', 'networking', 'innovation'] ['agile', 'testing', 'testing', 'c++', 'java', 'leadership', 'innovation'] ['collaboration', 'agile'] ['leadership', 'leadership', 'testing', 'communication', 'agile'] ['testing', 'leadership', 'communication', 'hardware'] ['leadership', 'communication', 'planning', 'algorithms'] ['leadership', 'debugging'] ['c++', 'agile', 'programming', 'agile', 'leadership', 'leadership', 'agile', 'communication'] ['programming', 'c++', 'programming', 'python', 'programming', 'programming', 'python', 'c++', 'collaboration', 'creativity']","['networking', 'hardware', 'innovation', 'programming', 'organization', 'express', 'docker', ['decision-making', ['hardware', 'communication'] 'initiative'] ['collaboration'] ['flexibility'] 'kubernetes', ['collaboration', 'containerization'] 'planning', 'cybersecurity'] 'resilience', 'swift', 'cybersecurity', 'agile', ['devops', ['agile', 'testing', 'interpersonal', 'automation', 'rust', 'ruby', 'javascript', ['programming', 'teamwork'] 'organization'] 'java', 'debugging'] [] 'algorithms'] 'hadoop'] 'devops', 'initiative', 'hardware'] 'javascript'] ['leadership', 'testing'] 'bash', ['java', 'spring'] ['organization', 'scripting', 'devops'] 'python', ['c++', 'creativity'] 'leadership'] 'flexibility', 'communication', 'collaboration', 'innovation'] 'leadership', 'presentation', 'networking', 'writing', ['testing', 'multitasking', 'containerization', ['java'] 'agile'] 'problem-solving', ['virtualization', 'c++', ['innovation', 'debugging', ['algorithms',","['networking', 'hardware', 'innovation', 'programming', 'organization', 'express', 'docker', ['decision-making', ['hardware', 'communication']"
Design Services,"['collaboration', 'programming', 'ruby', 'javascript', 'communication', 'communication', 'react', 'ruby', 'communication', 'communication', 'agile', 'leadership', 'collaboration', 'spark'] ['testing', 'hardware', 'communication', 'interpersonal']","'leadership', 'interpersonal'] 'collaboration', 'hardware', 'programming', ['testing', 'agile', 'ruby', ['collaboration', 'javascript', 'spark'] 'react', 'communication',","'leadership', 'interpersonal'] 'collaboration', 'hardware', 'programming', ['testing', 'agile', 'ruby', ['collaboration', 'javascript',"
E-Learning Providers,"['writing', 'agile', 'python', 'collaboration'] ['creativity', 'writing', 'agile', 'collaboration'] ['programming', 'programming', 'programming', 'problem-solving', 'agile']","['writing', 'writing', 'programming', 'agile'] ['programming', 'problem-solving', 'python', ['creativity', 'agile', 'collaboration']","['writing', 'writing', 'programming', 'agile'] ['programming', 'problem-solving', 'python', ['creativity', 'agile', 'collaboration']"
Education Administration Programs,"['empathy', 'automation']","['empathy', 'automation']","['empathy', 'automation']"
Engineering Services,"['hardware', 'programming', 'python', 'hardware', 'communication', 'hardware', 'debugging'] ['c++', 'programming', 'c++', 'testing', 'leadership', 'problem-solving', 'communication', 'teamwork', 'c++', 'programming'] ['c++', 'programming'] ['testing', 'sql', 'automation', 'communication', 'java', 'programming', 'testing', 'sql', 'automation', 'automation'] ['devops', 'algorithms', 'devops', 'python', 'python', 'python', 'sql', 'sql', 'agile', 'debugging', 'devops', 'collaboration', 'communication', 'interpersonal', 'python', 'c#', 'devops']","'hardware', 'programming', ['hardware', 'sql', ['devops', 'agile', 'debugging', 'testing', 'interpersonal', 'automation', 'algorithms', 'java', 'debugging'] 'devops', 'c#', 'devops'] ['c++', 'python', 'communication', 'collaboration', 'leadership', ['testing', 'teamwork', 'programming'] 'c++', 'automation'] 'problem-solving',","'hardware', 'programming', ['hardware', 'sql', ['devops', 'agile', 'debugging', 'testing', 'interpersonal', 'automation',"
Entertainment Providers,"['react', 'innovation'] ['react', 'innovation'] ['react', 'innovation'] ['creativity', 'creativity', 'hadoop', 'creativity'] ['flexibility', 'innovation', 'javascript', 'flexibility', 'leadership', 'javascript', 'react', 'automation', 'css', 'html', 'css'] ['innovation', 'creativity', 'automation', 'automation', 'testing', 'programming', 'automation', 'testing', 'problem-solving', 'collaboration', 'communication', 'react', 'node.js', 'agile', 'writing'] [] ['innovation', 'agile', 'interpersonal', 'programming'] ['creativity', 'creativity', 'algorithms', 'algorithms', 'planning', 'c++', 'communication', 'leadership', 'creativity'] ['sql', 'writing', 'kubernetes', 'docker', 'programming', 'collaboration'] ['c#', 'algorithms', 'c#', 'sql', 'nosql', 'c#', 'debugging', 'sql', 'nosql', 'microservices', 'writing'] ['leadership', 'leadership', 'testing', 'programming', 'programming', 'sql', 'nosql'] ['creativity', 'creativity', 'express', 'innovation', 'communication', 'collaboration', 'creativity', 'problem-solving', 'creativity'] ['c#', 'algorithms', 'c#', 'sql', 'nosql', 'c#', 'debugging', 'sql', 'nosql', 'microservices', 'writing'] ['collaboration', 'testing', 'collaboration', 'html', 'react'] ['creativity', 'creativity', 'go', 'creativity'] ['creativity', 'creativity', 'go', 'creativity'] ['creativity', 'creativity', 'go', 'creativity'] ['creativity', 'creativity', 'go', 'creativity'] ['flexibility', 'testing', 'java', 'programming', 'java'] ['java', 'agile', 'java', 'spring', 'interpersonal', 'communication', 'communication']","'html', 'go', 'innovation', 'programming', 'docker', 'express', 'communication'] ['collaboration', 'kubernetes', 'sql', 'planning', 'nosql'] 'css', ['sql', 'agile', 'css'] 'debugging', 'testing', 'interpersonal', 'automation', 'spring', 'nosql', 'microservices', 'algorithms', ['c#', 'javascript', 'hadoop', 'java', ['flexibility', ['react', [] 'c#', 'writing'] ['leadership', 'java'] ['java', 'creativity'] 'flexibility', 'collaboration', 'communication', 'innovation'] 'leadership', 'writing', 'node.js', ['creativity', 'creativity', 'problem-solving', 'programming'] 'c++', 'react'] ['innovation', 'react', 'collaboration']","'html', 'go', 'innovation', 'programming', 'docker', 'express', 'communication'] ['collaboration', 'kubernetes', 'sql',"
Environmental Services,"['react', 'agile', 'testing', 'communication', 'react', 'typescript', 'communication']","'testing', 'agile', 'typescript', 'communication'] 'react', ['react', 'communication',","'testing', 'agile', 'typescript', 'communication'] 'react', ['react', 'communication',"
Facilities Services,"['algorithms', 'testing', 'algorithms']","'testing', ['algorithms', 'algorithms']","'testing', ['algorithms', 'algorithms']"
Farming,"['docker', 'devops']","['docker', 'devops']","['docker', 'devops']"
Financial Services,"['flexibility', 'planning', 'automation', 'communication', 'presentation', 'problem-solving', 'organization', 'networking'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['kafka', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['testing', 'agile', 'microservices', 'python', 'nosql', 'agile', 'agile', 'communication', 'interpersonal', 'problem-solving', 'motivation'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'kafka', 'docker', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['spring', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication'] ['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['spring', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['blockchain', 'testing', 'blockchain', 'microservices', 'react', 'docker'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication'] ['kubernetes', 'kubernetes', 'kubernetes', 'kubernetes', 'kubernetes', 'networking', 'debugging', 'kubernetes', 'kubernetes'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['kafka', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['spring', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['automation', 'organization', 'agile', 'programming', 'java', 'automation', 'agile', 'agile', 'automation', 'automation', 'agile', 'automation', 'organization', 'agile', 'go', 'go'] ['automation', 'organization', 'agile', 'programming', 'java', 'automation', 'agile', 'agile', 'automation', 'automation', 'agile', 'automation', 'organization', 'agile', 'go', 'go'] ['automation', 'organization', 'agile', 'programming', 'java', 'automation', 'agile', 'agile', 'automation', 'automation', 'agile', 'automation', 'organization', 'agile', 'go', 'go'] ['flexibility', 'leadership', 'go', 'kubernetes', 'communication', 'collaboration', 'leadership', 'flexibility', 'initiative'] ['automation'] ['java', 'spring'] ['algorithms', 'python', 'flexibility'] ['interpersonal', 'communication', 'java', 'spring', 'sql', 'microservices', 'python', 'kafka', 'java'] ['communication', 'teamwork', 'agile', 'leadership', 'innovation', 'programming', 'javascript', 'node.js', 'agile', 'communication', 'collaboration', 'java', 'java', 'java', 'spring', 'nosql', 'programming', 'testing'] ['java', 'planning'] ['java', 'planning'] ['java', 'planning'] ['flexibility', 'planning', 'flexibility', 'initiative'] ['problem-solving', 'communication', 'agile', 'sql', 'devops'] ['java', 'spring', 'planning'] ['programming', 'leadership', 'debugging', 'programming', 'sql', 'scripting', 'sql', 'agile'] ['kafka', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['kafka', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'typescript', 'agile', 'cybersecurity', 'testing'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'typescript', 'agile', 'cybersecurity', 'testing'] ['agile', 'programming', 'nosql', 'docker', 'typescript', 'agile', 'cybersecurity', 'testing'] ['agile', 'programming', 'nosql', 'docker', 'typescript', 'agile', 'cybersecurity', 'testing'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'spring', 'agile'] ['programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'spring', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['microservices', 'agile', 'javascript', 'programming', 'css', 'agile', 'sql'] ['microservices', 'microservices', 'jenkins', 'terraform', 'angular', 'agile', 'sql'] ['automation', 'testing', 'testing', 'automation', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['automation', 'testing', 'testing', 'automation', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'agile', 'swift', 'leadership', 'swift', 'swift', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['microservices', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['programming', 'nosql', 'docker', 'spark', 'go', 'agile'] ['automation', 'testing', 'testing', 'automation', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'collaboration', 'microservices', 'java', 'agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['innovation', 'planning', 'automation', 'automation', 'testing', 'automation', 'programming', 'node.js', 'java', 'automation', 'automation', 'testing', 'testing', 'networking', 'planning'] ['flexibility', 'kubernetes', 'kubernetes', 'kubernetes', 'kubernetes', 'kubernetes', 'kubernetes', 'kubernetes'] ['agile', 'algorithms', 'programming', 'agile', 'java', 'spring', 'sql', 'testing', 'automation', 'sql', 'sql', 'sql'] ['leadership', 'innovation', 'spring', 'kubernetes', 'planning', 'programming', 'problem-solving', 'communication', 'programming', 'python', 'kafka'] ['planning'] ['planning'] ['algorithms', 'planning'] ['programming', 'planning'] ['algorithms', 'planning'] ['programming', 'planning'] ['typescript', 'communication', 'communication', 'python', 'problem-solving'] ['organization'] ['sql', 'communication'] ['organization'] ['collaboration', 'c++', 'testing', 'python', 'testing', 'programming', 'c++', 'programming'] ['agile', 'planning', 'problem-solving', 'go', 'c#', 'agile', 'communication', 'teamwork'] ['microservices', 'communication', 'collaboration'] ['agile', 'angular', 'java', 'spring', 'collaboration', 'leadership', 'collaboration', 'java', 'sql', 'leadership', 'go', 'go'] ['agile', 'algorithms', 'programming', 'spring', 'automation', 'programming', 'agile', 'programming'] ['innovation', 'planning'] ['agile', 'programming', 'decision-making', 'programming', 'agile', 'testing', 'debugging', 'programming'] ['collaboration', 'devops', 'collaboration'] ['algorithms', 'programming', 'agile', 'spark', 'java'] ['agile', 'agile', 'agile', 'agile', 'sql', 'spring', 'networking', 'problem-solving'] ['collaboration', 'initiative', 'initiative', 'problem-solving', 'communication', 'blockchain', 'go'] ['collaboration', 'initiative', 'initiative', 'problem-solving', 'communication', 'blockchain', 'go'] ['agile', 'algorithms', 'programming', 'agile'] [] ['programming', 'spark', 'nosql', 'docker', 'node.js', 'agile'] ['leadership', 'initiative', 'programming', 'javascript', 'css'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['communication', 'leadership', 'microservices', 'jenkins', 'terraform', 'communication', 'presentation', 'leadership', 'go', 'microservices', 'agile', 'go'] ['collaboration', 'initiative', 'initiative', 'problem-solving', 'communication', 'blockchain', 'go'] ['communication', 'leadership', 'css', 'microservices', 'jenkins', 'terraform', 'communication', 'presentation', 'leadership', 'angular', 'microservices', 'agile', 'sql'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['kotlin', 'rust', 'swift', 'kotlin', 'rust', 'blockchain', 'go'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'angular', 'java', 'spring', 'collaboration', 'leadership', 'collaboration', 'java', 'sql', 'leadership', 'go', 'go'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['programming', 'spark', 'nosql', 'docker', 'node.js', 'agile'] ['writing', 'agile', 'sql', 'communication', 'networking', 'go'] ['programming', 'angular', 'java', 'spring', 'kotlin', 'sql'] ['angular', 'c#', 'angular', 'c#', 'programming', 'angular', 'c#', 'angular', 'c#', 'bootstrap', 'agile', 'problem-solving', 'communication', 'collaboration'] ['devops', 'devops', 'testing', 'programming', 'sql', 'programming', 'c#', 'javascript', 'scripting', 'devops', 'teamwork'] ['python', 'programming', 'programming', 'spark', 'programming', 'nosql', 'communication', 'flexibility'] ['typescript', 'innovation', 'python', 'typescript', 'react', 'react', 'typescript', 'docker', 'kubernetes', 'sql'] ['innovation', 'planning', 'agile'] ['flexibility', 'leadership', 'communication'] ['programming', 'programming', 'collaboration', 'agile', 'spring', 'testing', 'planning', 'java', 'angular', 'communication', 'automation', 'kafka', 'kubernetes'] ['innovation', 'planning', 'spring'] ['programming', 'programming', 'collaboration', 'agile', 'spring', 'testing', 'planning', 'java', 'angular', 'communication', 'automation', 'kafka', 'kubernetes'] ['writing', 'agile', 'sql', 'communication', 'networking', 'go'] ['angular', 'c#', 'angular', 'c#', 'programming', 'angular', 'c#', 'angular', 'c#', 'bootstrap', 'agile', 'problem-solving', 'communication', 'collaboration'] ['agile', 'agile', 'kotlin', 'leadership', 'kotlin', 'kotlin', 'agile'] ['innovation', 'organization', 'innovation', 'agile', 'python', 'agile'] ['agile', 'agile', 'kotlin', 'leadership', 'kotlin', 'kotlin', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile', 'cybersecurity', 'testing'] ['agile', 'agile', 'swift', 'leadership', 'swift', 'swift', 'agile'] ['microservices', 'programming', 'javascript', 'typescript', 'java', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile', 'cybersecurity', 'testing'] ['agile', 'programming', 'nosql', 'docker', 'sql', 'agile'] ['motivation', 'go', 'c++', 'c++', 'containerization', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'kubernetes', 'docker', 'agile'] ['motivation', 'go', 'c++', 'c++', 'containerization', 'agile'] ['innovation', 'organization', 'innovation', 'agile', 'python', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'go', 'agile', 'cybersecurity', 'testing'] ['motivation', 'go', 'c++', 'c++', 'containerization', 'agile'] ['agile', 'nosql', 'docker', 'python', 'agile'] ['motivation', 'go', 'c++', 'c++', 'containerization', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'kubernetes', 'docker', 'agile'] ['microservices', 'microservices', 'programming', 'javascript', 'typescript', 'java', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'kubernetes', 'docker', 'agile'] ['motivation', 'go', 'c++', 'c++', 'containerization', 'agile'] ['java', 'java', 'testing', 'collaboration', 'java', 'programming', 'communication'] ['organization', 'debugging', 'testing', 'agile', 'communication', 'go', 'go'] ['organization', 'debugging', 'testing', 'agile', 'communication', 'go', 'go'] ['organization', 'debugging', 'testing', 'agile', 'communication', 'go', 'go'] ['problem-solving', 'innovation', 'writing', 'sql', 'innovation', 'problem-solving', 'presentation', 'interpersonal', 'communication'] ['kotlin', 'rust', 'swift', 'kotlin', 'rust', 'blockchain', 'go'] ['python', 'problem-solving'] ['flexibility', 'leadership', 'communication'] ['organization', 'python', 'programming', 'testing', 'devops', 'automation', 'jenkins', 'writing', 'problem-solving', 'collaboration', 'go', 'go'] ['organization', 'python', 'programming', 'testing', 'devops', 'automation', 'jenkins', 'writing', 'problem-solving', 'collaboration', 'go', 'go'] ['organization', 'python', 'programming', 'testing', 'devops', 'automation', 'jenkins', 'writing', 'problem-solving', 'collaboration', 'go', 'go'] ['automation'] ['innovation', 'planning'] ['innovation', 'planning', 'sql', 'java'] ['agile', 'programming', 'decision-making', 'programming', 'agile', 'testing', 'debugging', 'programming'] ['organization', 'python', 'programming', 'testing', 'devops', 'automation', 'jenkins', 'writing', 'problem-solving', 'collaboration', 'go', 'go'] ['agile', 'programming', 'nosql', 'docker', 'spring', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'node.js', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'spring', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['python', 'sql'] ['agile', 'algorithms', 'programming', 'agile'] ['leadership'] ['blockchain', 'programming', 'collaboration', 'rust', 'rust', 'rust', 'testing', 'blockchain'] ['programming', 'motivation'] ['c++', 'python'] ['microservices', 'programming', 'javascript', 'typescript', 'typescript', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'java', 'javascript', 'agile'] ['agile', 'programming', 'nosql', 'docker', 'java', 'javascript', 'agile'] ['microservices', 'programming', 'javascript', 'typescript', 'typescript', 'agile'] ['microservices', 'programming', 'javascript', 'typescript', 'typescript', 'agile'] ['programming', 'nosql', 'docker', 'go', 'agile'] ['debugging', 'sql', 'problem-solving', 'leadership', 'communication', 'networking', 'writing', 'flexibility'] ['kotlin', 'kotlin', 'testing', 'automation', 'rust', 'kotlin', 'blockchain', 'go'] ['devops', 'sql', 'communication', 'devops', 'sql', 'devops', 'problem-solving']","'organization', 'programming', 'spark', 'planning'] ['collaboration', 'kafka'] 'css', 'docker'] 'cybersecurity', ['agile', ['writing', 'decision-making', ['blockchain', ['problem-solving', ['kubernetes', ['planning'] ['communication', 'sql'] 'devops'] ['organization', 'communication', 'collaboration', 'kafka', 'writing', 'motivation'] 'c++', ['algorithms', 'collaboration'] ['kafka', 'communication'] 'initiative'] 'kubernetes', 'planning', ['devops', 'css'] 'spring', 'testing', 'rust', 'bootstrap', ['angular', 'javascript', [] 'devops', 'angular', 'java'] ['java', 'spring'] 'scripting', 'problem-solving'] ['leadership'] ['c++', 'go'] ['testing', 'typescript', ['innovation', 'debugging', 'blockchain'] 'go', 'docker', 'innovation', 'sql', ['microservices', 'agile', 'nosql', 'microservices', 'algorithms', 'jenkins', 'kotlin', ['flexibility', ['motivation', 'flexibility'] ['leadership', ['organization'] 'python', 'terraform', 'node.js', 'teamwork', 'networking'] 'problem-solving', ['typescript', 'initiative', ['automation', 'python'] ['sql', 'swift', 'interpersonal', 'automation', ['automation'] ['spring', ['programming', 'teamwork'] ['kotlin', 'java', 'blockchain', 'c#', ['debugging', 'testing'] ['python', ['interpersonal', 'flexibility', 'networking', 'presentation', 'leadership', 'kubernetes'] 'containerization', 'agile'] 'programming'] 'react',","'organization', 'programming', 'spark', 'planning'] ['collaboration', 'kafka'] 'css', 'docker'] 'cybersecurity', ['agile',"
Food and Beverage Manufacturing,"['leadership', 'microservices', 'leadership', 'microservices', 'devops', 'react', 'react', 'problem-solving']","'leadership', 'devops', 'microservices', ['leadership', 'problem-solving'] 'react',","'leadership', 'devops', 'microservices', ['leadership', 'problem-solving'] 'react',"
Food and Beverage Services,"['javascript', 'testing', 'testing', 'innovation', 'angular', 'testing', 'css', 'sql', 'communication', 'tensorflow', 'communication', 'teamwork'] ['planning', 'ruby', 'programming', 'testing', 'collaboration', 'testing', 'agile', 'testing', 'leadership', 'communication', 'writing', 'flexibility', 'ruby', 'ruby'] ['planning', 'ruby', 'programming', 'programming', 'testing', 'collaboration', 'testing', 'agile', 'testing', 'communication', 'writing', 'flexibility', 'ruby', 'ruby']","'testing', 'leadership', 'collaboration', 'writing', 'innovation', 'programming', 'tensorflow', 'agile', 'angular', 'ruby', ['planning', 'ruby'] 'sql', ['javascript', 'teamwork'] 'css', 'flexibility', 'communication',","'testing', 'leadership', 'collaboration', 'writing', 'innovation', 'programming', 'tensorflow', 'agile', 'angular', 'ruby',"
Higher Education,"['leadership', 'testing', 'sql', 'testing', 'sql', 'html', 'scripting', 'writing', 'java', 'java', 'interpersonal', 'sql', 'interpersonal'] ['innovation', 'react', 'programming'] ['writing', 'hardware', 'organization', 'problem-solving'] ['automation', 'communication', 'flexibility', 'decision-making'] ['automation', 'communication', 'flexibility', 'decision-making'] ['sql', 'testing', 'writing'] ['innovation', 'devops', 'devops', 'programming', 'programming', 'problem-solving', 'communication', 'interpersonal'] ['automation', 'communication', 'flexibility', 'decision-making'] ['automation', 'problem-solving', 'communication'] ['hardware', 'hardware', 'testing', 'problem-solving', 'programming', 'communication', 'planning', 'debugging', 'scripting', 'python']","'interpersonal'] 'html', 'hardware', 'organization', 'programming', 'communication'] ['hardware', ['automation', 'sql', 'planning', 'python'] ['sql', 'debugging', 'testing', 'interpersonal', ['writing', 'java', 'decision-making'] 'devops', 'writing'] ['leadership', 'scripting', 'problem-solving'] 'flexibility', 'communication', 'writing', 'programming'] 'problem-solving', ['innovation', 'react',","'interpersonal'] 'html', 'hardware', 'organization', 'programming', 'communication'] ['hardware', ['automation', 'sql', 'planning',"
Hospitality,"['programming', 'python', 'agile', 'leadership', 'agile', 'leadership'] ['problem-solving', 'automation', 'testing', 'communication', 'agile', 'interpersonal', 'spring']","'leadership', 'testing', 'automation', 'communication', 'interpersonal', ['problem-solving', 'spring'] ['programming', 'leadership'] 'python', 'agile',","'leadership', 'testing', 'automation', 'communication', 'interpersonal', ['problem-solving', 'spring'] ['programming', 'leadership'] 'python',"
