industry_name,top_10_skills
Staffing and Recruiting,"'programming', 'communication', 'c++', 'python', 'agile', 'sql', 'testing', 'automation', 'leadership', 'hardware'"
"Technology, Information and Internet","'communication', 'agile', 'programming', 'testing', 'writing', 'automation', 'initiative', 'sql', 'java', 'leadership'"
"Technology, Information and Media","'communication', 'writing', 'python', 'testing', 'problem-solving', 'ruby', 'agile', 'writing', 'problem-solving' 'automation', 'django'"
Telecommunications,"'programming', 'problem-solving', 'automation', 'python', 'python' 'c++', 'communication' 'programming', 'decision-making', 'communication' 'testing', 'java', 'sql' 'programming'"
"Transportation, Logistics, Supply Chain and Storage","'sql',  'collaboration', 'leadership', 'collaboration', 'python', 'devops', 'go' 'java', 'programming', 'testing', 'java'"
Truck Transportation,"'agile', 'testing', 'sql', 'leadership', 'programming', 'communication', 'organization', 'planning', 'agile', 'java'"
Utilities,"'testing', 'programming', 'sql', 'agile', 'hardware', 'communication', 'decision-making', 'planning', 'c++' 'testing', 'debugging'"
Veterinary Services,"'javascript', 'react', 'programming', 'java', 'spring', 'node.js', 'sql', 'agile'"
Wellness and Fitness Services,'teamwork' 'communication' 'communication'
Wholesale Building Materials,"'php', 'react', 'css', 'communication', 'teamwork', 'problem-solving', 'leadership'"
Writing and Editing,"'node.js', 'java'"
